               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/military_vehicle_mAP,metrics/aircraft_mAP, metrics/soldier_mAP,metrics/civilian_mAP,metrics/ordnance_mAP,metrics/military_vehicle_mAP_50,metrics/aircraft_mAP_50,metrics/soldier_mAP_50,metrics/civilian_mAP_50,metrics/ordnance_mAP_50
                  88,            0.027957,           0.0060726,           0.0016582,             0.77164,              0.5988,              0.6492,               0.293,            0.051263,           0.0071696,           0.0068732,            0.001387,            0.001387,            0.001387,             0.17109,             0.36739,             0.34054,               0.293,               0.293,             0.44319,             0.78927,             0.71514,              0.6492,              0.6492
                  89,            0.027971,           0.0059671,           0.0014319,             0.63899,             0.62198,             0.62155,             0.28268,            0.050934,           0.0069884,           0.0058465,            0.001288,            0.001288,            0.001288,             0.16964,             0.38138,               0.297,             0.28268,             0.28268,             0.45163,             0.72651,              0.6865,             0.62155,             0.62155
                  90,            0.027352,           0.0060083,           0.0014738,             0.66082,             0.56578,             0.62219,             0.26991,            0.049919,            0.007042,           0.0068911,            0.001189,            0.001189,            0.001189,             0.18774,             0.37732,             0.24467,             0.26991,             0.26991,             0.47203,             0.80396,             0.59059,             0.62219,             0.62219
                  91,            0.027324,           0.0059505,           0.0015513,             0.64676,             0.64251,             0.64784,             0.28767,            0.048673,           0.0069945,           0.0073673,             0.00109,             0.00109,             0.00109,             0.17477,             0.36133,             0.32691,             0.28767,             0.28767,             0.44163,             0.82165,             0.68023,             0.64784,             0.64784
                  92,            0.026436,           0.0058385,           0.0013377,             0.65414,             0.62848,             0.63172,             0.28088,            0.047882,           0.0072822,           0.0071735,            0.000991,            0.000991,            0.000991,             0.18129,             0.37668,             0.28467,             0.28088,             0.28088,             0.43076,              0.8468,             0.61759,             0.63172,             0.63172
                  93,            0.026586,           0.0058941,           0.0014271,             0.65604,              0.5782,             0.61328,             0.26938,            0.048295,           0.0072126,           0.0074056,            0.000892,            0.000892,            0.000892,             0.16683,             0.35577,             0.28553,             0.26938,             0.26938,             0.41269,             0.77816,             0.64897,             0.61328,             0.61328
                  94,            0.029043,           0.0057971,           0.0013647,             0.64343,             0.61293,             0.63243,              0.2902,            0.045893,           0.0073866,           0.0076128,            0.000793,            0.000793,            0.000793,             0.16262,             0.39788,             0.31008,              0.2902,              0.2902,             0.40734,             0.83593,             0.65403,             0.63243,             0.63243
                  95,            0.028846,           0.0058548,           0.0014492,              0.5645,             0.63035,             0.63941,             0.29712,            0.046174,           0.0071818,           0.0078184,            0.000694,            0.000694,            0.000694,             0.17944,             0.43299,             0.27892,             0.29712,             0.29712,             0.45269,             0.81521,             0.65033,             0.63941,             0.63941
                  96,            0.028245,           0.0058685,           0.0013427,             0.62633,             0.63783,             0.64653,             0.30438,            0.045688,           0.0071683,           0.0073499,            0.000595,            0.000595,            0.000595,             0.18918,             0.42189,             0.30208,             0.30438,             0.30438,             0.46469,             0.83652,             0.63837,             0.64653,             0.64653
                  97,             0.02642,           0.0059199,           0.0014513,             0.70514,             0.60736,             0.65644,             0.30455,              0.0456,           0.0073108,           0.0074636,            0.000496,            0.000496,            0.000496,              0.1647,             0.44085,             0.30811,             0.30455,             0.30455,             0.41798,             0.86096,             0.69038,             0.65644,             0.65644
                  98,            0.025189,           0.0058194,           0.0012719,             0.71371,             0.59857,             0.65651,             0.31459,            0.045475,           0.0072421,           0.0071193,            0.000397,            0.000397,            0.000397,              0.1902,             0.41405,             0.33951,             0.31459,             0.31459,             0.44514,             0.84454,             0.67984,             0.65651,             0.65651
                  99,            0.024666,            0.005813,            0.001207,             0.71025,             0.64706,             0.68118,             0.32039,            0.044266,           0.0071107,            0.007589,            0.000298,            0.000298,            0.000298,             0.19732,             0.41468,             0.34916,             0.32039,             0.32039,             0.45881,              0.8616,             0.72314,             0.68118,             0.68118
